title,time_published,relevance_score,sentiment_score,sentiment_label,topics
Rule Breaker Investing: The 2024 Gratitude Episode,2024-12-03 16:17:00,0.005721,0.029776,Neutral,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.25'}]"
"Lack Of Sellers In The Stock Market, China Retaliates Against U.S. - Apple  ( NASDAQ:AAPL ) ",2024-12-03 16:16:56,0.117486,-0.250521,Somewhat-Bearish,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999763'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]"
"Top Crypto Analyst Predicts Bitcoin Surge Despite Pullback Concerns; Fed's Waller Signals December Rate Cut, Projects Inflation To Hit 2%; SpaceX Plans Tender Offer, Boosting Valuation To $350B From $210B In Prior Stake Sale - Top Headlines Today While US Slept",2024-12-03 14:46:30,0.407844,0.051315,Neutral,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]"
Why ChargePoint Won't Turn a Profit for Years to Come,2024-12-03 14:33:00,0.108466,-0.007636,Neutral,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Stock Market News for Dec 3, 2024",2024-12-03 14:32:00,0.127119,0.218098,Somewhat-Bullish,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]"
"Screening For Black Friday Bargains In The Stock Market - Neurocrine Biosciences  ( NASDAQ:NBIX ) , Expedia Group  ( NASDAQ:EXPE ) ",2024-12-03 14:21:14,0.312423,0.287215,Somewhat-Bullish,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}]"
Jim Cramer's top 10 things to watch in the stock market Tuesday,2024-12-03 14:19:47,0.320974,0.028368,Neutral,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
TSLA Stock Doubles in 6 Months: Why It Remains a Top Pick for 2025,2024-12-03 14:09:00,0.545136,0.515094,Bullish,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.684621'}]"
"Tesla, Inc.  ( TSLA )  is Attracting Investor Attention: Here is What You Should Know",2024-12-03 14:00:16,0.487546,0.221075,Somewhat-Bullish,"[{'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Financial Markets', 'relevance_score': '0.5855'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
General Motors to Offload Stakes in Battery Plant at Michigan,2024-12-03 13:59:00,0.172097,0.026794,Neutral,"[{'topic': 'Earnings', 'relevance_score': '0.77141'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
